"Year","State","TOTAL.POPULATION","Type","FREE.COLORED.MALES","FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.PERSONS","TOTAL.FREE.COLORED.FEMALES","TOTAL.FREE.COLORED.MALES","TOTAL.FREE.COLORED.POPULATION","WHITE.AND.FREE.COLORED.FAMILIES","AGGR..FREE.COLORED.PERSONS","COLORED.PERSONS","COLORED.MALES","COLORED.FEMALES","TOTAL.COLORED.FEMALES","TOTAL.COLORED.MALES"
1860,"ARKANSAS",435450,"State",NA,NA,NA,72,72,NA,NA,144,NA,NA,NA,NA,NA
1860,"CALIFORNIA",379994,"State",NA,NA,NA,1259,2827,NA,NA,4086,NA,NA,NA,NA,NA
1860,"CONNECTICUT",460147,"State",NA,NA,NA,4491,4136,NA,NA,8627,NA,NA,NA,NA,NA
1860,"DELAWARE",112216,"State",NA,NA,NA,9940,9889,NA,NA,19829,NA,NA,NA,NA,NA
1860,"FLORIDA",140424,"State",NA,NA,NA,478,454,NA,NA,932,NA,NA,NA,NA,NA
1860,"GEORGIA",1057286,"State",NA,NA,NA,1831,1669,NA,NA,3500,NA,NA,NA,NA,NA
1860,"ILLINOIS",1711951,"State",NA,NA,NA,3819,3809,NA,NA,7628,NA,NA,NA,NA,NA
1860,"INDIANA",1350428,"State",NA,NA,NA,5637,5791,NA,NA,11428,NA,NA,NA,NA,NA
1860,"IOWA",674913,"State",NA,NA,NA,503,566,NA,NA,1069,NA,NA,NA,NA,NA
1860,"KANSAS",107206,"Territory",NA,NA,NA,339,286,NA,NA,625,NA,NA,NA,NA,NA
1860,"KENTUCKY",1155684,"State",NA,NA,NA,5583,5101,NA,NA,10684,NA,NA,NA,NA,NA
1860,"LOUISIANA",708002,"State",NA,NA,NA,10368,8279,NA,NA,18647,NA,NA,NA,NA,NA
1860,"MAINE",628279,"State",NA,NA,NA,668,659,NA,NA,1327,NA,NA,NA,NA,NA
1860,"MARYLAND",687049,"State",NA,NA,NA,44196,39746,NA,NA,83942,NA,NA,NA,NA,NA
1860,"MASSACHUSETTS",1231066,"State",NA,NA,NA,5133,4469,NA,NA,9602,NA,NA,NA,NA,NA
1860,"MICHIGAN",749113,"State",NA,NA,NA,3232,3567,NA,NA,6799,NA,NA,NA,NA,NA
1860,"MINNESOTA",172023,"State",NA,NA,NA,133,126,NA,NA,259,NA,NA,NA,NA,NA
1860,"MISSISSIPPI",791305,"State",NA,NA,NA,401,372,NA,NA,773,NA,NA,NA,NA,NA
1860,"MISSOURI",1182012,"State",NA,NA,NA,1875,1697,NA,NA,3572,NA,NA,NA,NA,NA
1860,"NEBRASKA",28841,"Territory",NA,NA,NA,32,35,NA,NA,67,NA,NA,NA,NA,NA
1860,"NEVADA",6857,"Territory",NA,NA,NA,10,35,NA,NA,45,NA,NA,NA,NA,NA
